time,wx (rad/s),wy (rad/s),wz (rad/s)
0.609897,0.00,-0.00,-0.00
1.610737,-0.00,-0.00,-0.00
2.640413,0.02,0.06,-0.31
3.626582,-0.00,-0.01,1.40
4.612697,-0.01,-0.02,-1.70
5.613769,0.01,0.03,0.05
6.616007,-0.00,0.01,-0.33
7.616082,-0.72,0.06,-0.15
8.617652,0.34,0.03,-0.05
9.618433,2.50,0.06,-0.31
10.619955,-1.57,-0.03,0.03
11.618943,-1.31,-0.03,0.07
12.620359,-0.07,-5.10,0.13
13.622309,-0.31,-2.97,-0.31
14.622569,0.56,7.42,-0.39
15.622771,0.04,0.90,-0.00
16.624006,0.46,-0.16,0.03
17.624234,0.00,-0.00,0.00
