time,gFx,gFy,gFz,TgF
1.705532461,0.0034,0.0112,1.0257,1.026
1.708314076,0.0029,0.0117,1.0264,1.026
1.710482202,0.0034,0.0107,1.0232,1.023
1.712854233,0.0056,0.0122,1.0217,1.022
1.714591733,0.0032,0.0120,1.0210,1.021
1.716527306,0.0054,0.0134,1.0188,1.019
1.718991734,0.0056,0.0117,1.0159,1.016
1.722745015,0.0049,0.0129,1.0147,1.015
1.724546995,0.0066,0.0137,1.0115,1.012
1.726258297,0.0042,0.0139,1.0105,1.011
1.727449026,0.0066,0.0147,1.0093,1.009
1.728909599,0.0049,0.0117,1.0095,1.010
1.730189078,0.0064,0.0139,1.0100,1.010
1.732109131,0.0054,0.0137,1.0093,1.009
1.7328496,0.0054,0.0137,1.0093,1.009
1.733621423,0.0073,0.0132,1.0125,1.013
1.734460121,0.0049,0.0125,1.0159,1.016
1.735187881,0.0059,0.0122,1.0166,1.017
1.7360421,0.0051,0.0107,1.0186,1.019
1.736734287,0.0056,0.0105,1.0198,1.020
1.737372152,0.0061,0.0088,1.0232,1.023
1.738329444,0.0042,0.0107,1.0220,1.022
1.739088871,0.0034,0.0103,1.0237,1.024
1.739828611,0.0029,0.0083,1.0242,1.024
1.740424236,0.0024,0.0086,1.0247,1.025
1.741143923,0.0024,0.0088,1.0261,1.026
1.747354914,0.0027,0.0083,1.0264,1.026
1.748501007,0.0002,0.0066,1.0261,1.026
1.74922757,0.0015,0.0068,1.0264,1.026
1.749775018,0.0017,0.0056,1.0237,1.024
1.750304549,0.0002,0.0059,1.0249,1.025
1.75350231,0.0005,0.0061,1.0242,1.024
1.754289133,-0.0029,0.0068,1.0242,1.024
1.758395904,-0.0015,0.0056,1.0259,1.026
1.75964179,-0.0020,0.0054,1.0217,1.022
1.760799967,-0.0020,0.0061,1.0213,1.021
1.762048561,-0.0034,0.0037,1.0220,1.022
1.763617884,-0.0044,0.0064,1.0200,1.020
1.765791217,-0.0039,0.0054,1.0203,1.020
1.767935176,-0.0046,0.0066,1.0186,1.019
1.770236791,-0.0059,0.0068,1.0188,1.019
1.771783041,-0.0066,0.0054,1.0193,1.019
1.773970854,-0.0042,0.0061,1.0198,1.020
1.7760845,-0.0056,0.0064,1.0191,1.019
1.77806549,-0.0068,0.0081,1.0208,1.021
1.779777573,-0.0071,0.0073,1.0208,1.021
1.782130229,-0.0086,0.0066,1.0215,1.022
1.785173355,-0.0081,0.0076,1.0230,1.023
1.786867626,-0.0066,0.0088,1.0235,1.024
1.788351532,-0.0076,0.0095,1.0227,1.023
1.789760074,-0.0071,0.0088,1.0232,1.023
1.792453356,-0.0071,0.0100,1.0222,1.022
1.794218877,-0.0076,0.0105,1.0220,1.022
1.795926012,-0.0093,0.0112,1.0217,1.022
1.798495544,-0.0083,0.0112,1.0230,1.023
1.800151013,-0.0088,0.0110,1.0249,1.025
1.802433929,-0.0098,0.0115,1.0215,1.022
1.806876847,-0.0073,0.0107,1.0230,1.023
1.807757367,-0.0083,0.0107,1.0220,1.022
1.808113774,-0.0078,0.0117,1.0215,1.022
1.810096274,-0.0090,0.0112,1.0215,1.022
1.812294243,-0.0086,0.0115,1.0220,1.022
1.813767524,-0.0086,0.0115,1.0213,1.021
1.816178045,-0.0081,0.0117,1.0203,1.020
1.818726379,-0.0061,0.0115,1.0191,1.019
1.820014608,-0.0083,0.0115,1.0215,1.022
1.82167065,-0.0061,0.0103,1.0210,1.021
1.82370815,-0.0095,0.0093,1.0222,1.022
1.826307265,-0.0061,0.0093,1.0193,1.019
1.828142422,-0.0076,0.0088,1.0191,1.019
1.830317734,-0.0039,0.0112,1.0205,1.021
1.832110287,-0.0051,0.0083,1.0181,1.018
1.836269402,-0.0049,0.0095,1.0174,1.017
1.837237318,-0.0046,0.0103,1.0198,1.020
1.838249662,-0.0042,0.0081,1.0198,1.020
1.841250704,-0.0029,0.0083,1.0196,1.020
1.842475079,-0.0024,0.0071,1.0200,1.020
1.844373152,-0.0024,0.0068,1.0222,1.022
1.846221903,-0.0012,0.0066,1.0215,1.022
1.848400497,-0.0017,0.0064,1.0225,1.023
1.853730341,0.0015,0.0056,1.0252,1.025
1.854877164,0.0002,0.0073,1.0239,1.024
1.855511278,0.0000,0.0059,1.0247,1.025
1.856537789,0.0000,0.0061,1.0249,1.025
1.858506643,0.0012,0.0071,1.0232,1.023
1.861235237,0.0032,0.0051,1.0257,1.026
1.862272633,0.0017,0.0064,1.0239,1.024
1.86463404,0.0020,0.0061,1.0247,1.025
1.865985238,0.0024,0.0059,1.0259,1.026
1.869688572,0.0032,0.0071,1.0239,1.024
1.87050253,0.0029,0.0081,1.0230,1.023
1.872496697,0.0037,0.0073,1.0227,1.023
1.874166489,0.0054,0.0081,1.0237,1.024
1.876050135,0.0032,0.0103,1.0210,1.021
1.878118572,0.0037,0.0090,1.0210,1.021
1.880000968,0.0044,0.0086,1.0198,1.020
1.882000292,0.0051,0.0095,1.0188,1.019
1.884837636,0.0059,0.0103,1.0193,1.019
1.887268469,0.0059,0.0107,1.0174,1.017
1.888334667,0.0054,0.0093,1.0181,1.018
1.890624407,0.0054,0.0112,1.0183,1.018
1.892250449,0.0066,0.0115,1.0205,1.021
1.895059251,0.0068,0.0107,1.0191,1.019
1.895883001,0.0061,0.0125,1.0186,1.019
1.898099356,0.0061,0.0105,1.0210,1.021
1.902398054,0.0061,0.0125,1.0191,1.019
1.903423106,0.0046,0.0120,1.0203,1.020
1.904545138,0.0051,0.0125,1.0193,1.019
1.906311127,0.0056,0.0120,1.0205,1.021
1.908258315,0.0039,0.0112,1.0227,1.023
1.910604774,0.0044,0.0115,1.0227,1.023
1.912419357,0.0044,0.0117,1.0225,1.023
